als_val  , ps_val, tempbuf, mag[x] , mag[y] , mag[z] , pressbuf, presstempbuf, acc[x] , acc[y] , acc[z] , (RED)  , (GREEN), (BLUE) , (IR)   ,(GREEN2)
36.6,0,25.4,6.1,-43.7,-76.3,1020.985,21.4,-0.0,0.1,1.0,58,168,75,5,181
36.6,0,26.0,6.0,-44.3,-76.0,1020.985,21.4,-0.0,0.0,1.0,58,168,75,5,171
34.7,0,26.0,5.9,-43.7,-76.6,1020.981,21.4,-0.0,0.0,1.0,58,168,75,5,171
34.7,0,26.0,6.0,-43.0,-76.8,1020.981,21.4,-0.0,0.1,1.0,60,173,77,5,171
34.7,0,26.0,6.4,-43.2,-76.8,1020.981,21.4,-0.0,0.1,1.0,60,173,77,5,171
29.7,0,25.4,6.0,-43.8,-76.2,1020.981,21.4,-0.0,0.1,1.0,60,173,77,5,170
29.7,0,25.4,6.3,-44.5,-75.6,1020.981,21.4,-0.0,0.0,1.1,60,173,77,5,170
29.7,0,26.0,6.0,-44.2,-76.0,1020.981,21.4,-0.0,0.0,1.0,62,175,79,5,170
38.1,0,26.0,6.3,-43.5,-76.4,1020.981,21.4,-0.0,0.0,1.0,62,175,79,5,174
38.1,0,26.0,6.2,-43.5,-76.4,1021.004,21.4,-0.0,0.1,1.0,62,175,79,5,174
38.1,0,26.0,6.7,-44.4,-75.5,1021.004,21.4,-0.0,0.1,1.0,62,175,79,5,174
33.1,0,26.0,6.9,-44.8,-74.8,1021.004,21.4,-0.0,0.1,1.0,61,173,78,5,174
33.1,0,26.0,6.8,-44.3,-75.5,1021.004,21.4,-0.0,0.0,1.1,61,173,78,5,174
33.1,0,25.4,6.3,-44.0,-76.1,1021.004,21.4,-0.0,-0.0,1.1,61,173,78,5,174
37.9,0,26.0,6.6,-44.0,-76.1,1021.004,21.4,-0.0,0.1,1.0,60,172,77,5,174
37.9,0,26.0,7.0,-44.8,-75.3,1020.993,21.4,-0.0,0.1,0.9,60,172,77,5,174
36.2,0,25.4,7.5,-45.6,-74.3,1020.993,21.4,-0.0,0.1,0.9,60,172,77,5,174
36.2,0,26.0,7.4,-45.2,-74.3,1020.993,21.4,-0.1,0.0,1.1,60,172,77,5,174
36.2,0,26.0,7.3,-44.8,-74.7,1020.993,21.4,-0.1,0.0,1.1,62,175,80,5,174
43.0,0,26.0,7.3,-44.6,-75.1,1020.993,21.4,-0.0,0.1,1.0,62,175,80,5,174
43.0,0,25.4,7.6,-45.0,-74.9,1020.993,21.4,-0.0,0.1,0.9,62,175,80,5,174
43.0,0,25.4,8.3,-45.7,-73.8,1020.993,21.4,-0.0,0.2,0.9,62,174,79,5,174
39.6,0,26.0,8.5,-45.9,-73.3,1020.987,21.4,-0.1,0.1,1.0,62,174,79,5,174
39.6,0,25.4,8.6,-45.3,-73.6,1020.987,21.4,-0.1,0.0,1.2,62,174,79,5,174
39.6,0,25.4,8.4,-45.0,-74.1,1020.987,21.4,-0.1,0.0,1.2,62,174,79,5,174
38.1,0,25.4,8.1,-44.7,-74.4,1020.987,21.4,-0.1,0.1,1.0,58,168,76,5,174
38.1,0,25.4,8.5,-45.8,-73.5,1020.987,21.4,-0.1,0.1,0.9,58,168,76,5,170
34.7,0,25.4,8.9,-46.4,-72.6,1020.987,21.4,-0.1,0.1,0.9,58,168,76,5,170
34.7,0,25.4,9.1,-45.9,-72.8,1021.004,21.4,-0.1,0.1,1.0,58,168,76,5,170
34.7,0,25.4,8.6,-45.0,-74.0,1021.004,21.4,-0.1,0.0,1.2,60,172,78,5,170
36.4,0,25.4,7.8,-44.6,-74.6,1021.004,21.4,-0.1,0.0,1.0,60,172,78,5,168
36.4,0,26.0,7.7,-44.8,-74.6,1021.004,21.4,-0.1,0.1,1.0,60,172,78,5,168
36.4,0,26.0,8.5,-45.7,-73.5,1021.004,21.4,-0.1,0.2,0.8,60,172,78,5,168
31.4,0,26.0,8.5,-46.1,-73.2,1021.004,21.4,-0.1,0.1,1.0,59,170,77,5,168
31.4,0,25.4,8.1,-45.8,-73.8,1021.004,21.4,-0.1,0.0,1.2,59,170,77,5,171
31.4,0,25.4,7.4,-45.1,-74.8,1020.986,21.4,-0.1,0.0,1.0,59,170,77,5,171
36.4,0,26.6,7.5,-45.3,-75.0,1020.986,21.4,-0.1,0.1,1.0,59,169,77,5,171
36.4,0,24.8,6.6,-45.8,-75.0,1020.986,21.4,-0.1,0.1,1.0,59,169,77,5,171
36.4,0,26.0,6.8,-46.8,-74.3,1020.986,21.4,-0.0,0.1,0.9,59,169,77,5,171
39.6,0,26.0,7.1,-47.4,-73.3,1020.986,21.4,-0.0,0.1,1.0,59,169,77,5,171
39.6,0,26.0,6.4,-47.9,-73.5,1020.986,21.4,-0.1,0.1,1.1,64,179,83,5,171
39.6,0,26.0,6.0,-47.7,-74.1,1020.996,21.4,-0.1,0.1,1.1,64,179,83,5,182
64.4,0,26.0,6.0,-46.8,-74.8,1020.996,21.4,-0.1,0.1,1.1,64,179,83,5,182
64.4,0,26.0,5.6,-46.5,-75.5,1020.996,21.4,-0.0,0.1,1.0,65,181,82,5,182
64.4,0,26.0,6.1,-46.8,-74.9,1020.996,21.4,-0.0,0.2,0.9,65,181,82,5,182
57.9,0,26.0,6.4,-47.8,-73.9,1020.996,21.4,-0.0,0.2,0.9,65,181,82,5,181
57.9,0,26.0,6.4,-47.9,-74.0,1020.996,21.4,-0.1,0.1,1.2,65,181,82,5,181
66.1,0,26.0,6.0,-47.2,-74.7,1021.023,21.4,-0.1,0.1,1.1,66,183,84,5,181
